  1.00000000E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.00000000E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.00000000E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.00000000E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.00000000E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.10000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.30000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.50000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.70000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.90000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.10000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.30000000E+00  0.00000000E+00  5.15908251E-01  0.00000000E+00
  2.50000000E+00  0.00000000E+00  1.22228646E+00  0.00000000E+00
  2.70000000E+00  3.36932672E+00  1.77351590E+00  2.12010919E+00
  2.90000000E+00  2.33398690E+00  1.61030890E+00  3.81437671E+00
  3.10000000E+00  3.55415494E-01  1.14583713E+00  4.10919017E+00
  3.30000000E+00  6.46641118E-01  8.46377072E-01  4.71701547E+00
  3.50000000E+00  8.94116671E-01  8.43630777E-01  5.66242038E+00
  3.70000000E+00  9.83336552E-01  9.73582757E-01  6.82438581E+00
  3.90000000E+00  1.03408049E+00  1.05649018E+00  8.18198362E+00
  4.10000000E+00  1.14009463E+00  1.10783306E+00  9.83621474E+00
  4.30000000E+00  1.14825221E+00  1.12196264E+00  1.16687898E+01
  4.50000000E+00  1.12237624E+00  1.10230488E+00  1.36305732E+01
  4.70000000E+00  1.06372431E+00  1.04983190E+00  1.56587807E+01
  4.90000000E+00  1.00324910E+00  9.90418828E-01  1.77379436E+01
  5.10000000E+00  8.98140204E-01  9.30158741E-01  1.97543221E+01
  5.30000000E+00  9.01062996E-01  8.89470811E-01  2.19390355E+01
  5.50000000E+00  8.38465076E-01  8.70874574E-01  2.41282985E+01
  5.70000000E+00  8.43279032E-01  8.93102111E-01  2.64931756E+01
  5.90000000E+00  9.25776493E-01  9.46537737E-01  2.92747953E+01
  6.10000000E+00  1.03378191E+00  1.01439122E+00  3.25950864E+01
  6.30000000E+00  1.07755301E+00  1.06878809E+00  3.62866242E+01
  6.50000000E+00  1.11056917E+00  1.09293713E+00  4.03366697E+01
  6.70000000E+00  1.12439594E+00  1.08807460E+00  4.46933576E+01
  6.90000000E+00  1.04753731E+00  1.05944478E+00  4.89981802E+01
  7.10000000E+00  1.02783064E+00  1.02680827E+00  5.34704277E+01
  7.30000000E+00  9.91668956E-01  9.97163942E-01  5.80318471E+01
  7.50000000E+00  9.68908465E-01  9.77112848E-01  6.27361237E+01
  7.70000000E+00  9.64923992E-01  9.64094256E-01  6.76742493E+01
  7.90000000E+00  9.49116631E-01  9.57862520E-01  7.27870792E+01
  8.10000000E+00  9.52634151E-01  9.60542866E-01  7.81819836E+01
  8.30000000E+00  9.63742931E-01  9.74624612E-01  8.39126479E+01
  8.50000000E+00  9.85749404E-01  9.95752157E-01  9.00600546E+01
  8.70000000E+00  1.03607403E+00  1.01626589E+00  9.68289354E+01
  8.90000000E+00  1.03142208E+00  1.02268272E+00  1.03880801E+02
  9.10000000E+00  1.02400956E+00  1.01877607E+00  1.11200182E+02
  9.30000000E+00  9.97869221E-01  1.00969203E+00  1.18649682E+02
  9.50000000E+00  1.00231776E+00  1.00584792E+00  1.26457689E+02
  9.70000000E+00  1.00779554E+00  1.00458374E+00  1.34642402E+02
  9.90000000E+00  1.00567107E+00  1.00571887E+00  1.43150136E+02
  1.01000000E+01  9.98582534E-01  1.00606900E+00  1.51942675E+02
  1.03000000E+01  1.01423455E+00  1.00560070E+00  1.61230209E+02
  1.05000000E+01  1.00598882E+00  1.00174979E+00  1.70803458E+02
  1.07000000E+01  9.89082064E-01  9.96264004E-01  1.80577798E+02
  1.09000000E+01  9.90739233E-01  9.92681395E-01  1.90737944E+02
  1.11000000E+01  9.90181321E-01  9.91911526E-01  2.01268426E+02
  1.13000000E+01  9.94160422E-01  9.93976960E-01  2.12225660E+02
  1.15000000E+01  9.93360302E-01  9.96043910E-01  2.23565059E+02
  1.17000000E+01  1.00081248E+00  9.99392088E-01  2.35390355E+02
  1.19000000E+01  9.99464686E-01  1.00350112E+00  2.47606915E+02
  1.21000000E+01  1.00745067E+00  1.00642664E+00  2.60338490E+02
  1.23000000E+01  1.01773757E+00  1.00714630E+00  2.73628753E+02
  1.25000000E+01  9.96090377E-01  1.00429892E+00  2.87062784E+02
  1.27000000E+01  1.00195784E+00  1.00415100E+00  3.01011829E+02
  1.29000000E+01  1.00185417E+00  1.00521163E+00  3.15402184E+02
  1.31000000E+01  1.01468118E+00  1.00741210E+00  3.30432211E+02
  1.33000000E+01  1.00757644E+00  1.00463641E+00  3.45816197E+02
  1.35000000E+01  9.98882458E-01  9.99518726E-01  3.61529572E+02
  1.37000000E+01  9.89027330E-01  9.95367849E-01  3.77552320E+02
  1.39000000E+01  9.90997859E-01  9.95168771E-01  3.94079163E+02
  1.41000000E+01  1.00210986E+00  9.96200571E-01  4.11275705E+02
  1.43000000E+01  9.99122733E-01  9.95932258E-01  4.28910828E+02
  1.45000000E+01  9.87444427E-01  9.94553073E-01  4.46830755E+02
  1.47000000E+01  9.94224003E-01  9.95270155E-01  4.65374886E+02
  1.49000000E+01  9.98054477E-01  9.97558539E-01  4.84500455E+02
