  1.00000000E-01  0.00000000E+00
  3.00000000E-01  0.00000000E+00
  5.00000000E-01  0.00000000E+00
  7.00000000E-01  0.00000000E+00
  9.00000000E-01  0.00000000E+00
  1.10000000E+00  0.00000000E+00
  1.30000000E+00  0.00000000E+00
  1.50000000E+00  0.00000000E+00
  1.70000000E+00  0.00000000E+00
  1.90000000E+00  0.00000000E+00
  2.10000000E+00  0.00000000E+00
  2.30000000E+00  0.00000000E+00
  2.50000000E+00  0.00000000E+00
  2.70000000E+00  2.12010919E+00
  2.90000000E+00  3.81437671E+00
  3.10000000E+00  4.10919017E+00
  3.30000000E+00  4.71701547E+00
  3.50000000E+00  5.66242038E+00
  3.70000000E+00  6.82438581E+00
  3.90000000E+00  8.18198362E+00
  4.10000000E+00  9.83621474E+00
  4.30000000E+00  1.16687898E+01
  4.50000000E+00  1.36305732E+01
  4.70000000E+00  1.56587807E+01
  4.90000000E+00  1.77379436E+01
  5.10000000E+00  1.97543221E+01
  5.30000000E+00  2.19390355E+01
  5.50000000E+00  2.41282985E+01
  5.70000000E+00  2.64931756E+01
  5.90000000E+00  2.92747953E+01
  6.10000000E+00  3.25950864E+01
  6.30000000E+00  3.62866242E+01
  6.50000000E+00  4.03366697E+01
  6.70000000E+00  4.46933576E+01
  6.90000000E+00  4.89981802E+01
  7.10000000E+00  5.34704277E+01
  7.30000000E+00  5.80318471E+01
  7.50000000E+00  6.27361237E+01
  7.70000000E+00  6.76742493E+01
  7.90000000E+00  7.27870792E+01
  8.10000000E+00  7.81819836E+01
  8.30000000E+00  8.39126479E+01
  8.50000000E+00  9.00600546E+01
  8.70000000E+00  9.68289354E+01
  8.90000000E+00  1.03880801E+02
  9.10000000E+00  1.11200182E+02
  9.30000000E+00  1.18649682E+02
  9.50000000E+00  1.26457689E+02
  9.70000000E+00  1.34642402E+02
  9.90000000E+00  1.43150136E+02
  1.01000000E+01  1.51942675E+02
  1.03000000E+01  1.61230209E+02
  1.05000000E+01  1.70803458E+02
  1.07000000E+01  1.80577798E+02
  1.09000000E+01  1.90737944E+02
  1.11000000E+01  2.01268426E+02
  1.13000000E+01  2.12225660E+02
  1.15000000E+01  2.23565059E+02
  1.17000000E+01  2.35390355E+02
  1.19000000E+01  2.47606915E+02
  1.21000000E+01  2.60338490E+02
  1.23000000E+01  2.73628753E+02
  1.25000000E+01  2.87062784E+02
  1.27000000E+01  3.01011829E+02
  1.29000000E+01  3.15402184E+02
  1.31000000E+01  3.30432211E+02
  1.33000000E+01  3.45816197E+02
  1.35000000E+01  3.61529572E+02
  1.37000000E+01  3.77552320E+02
  1.39000000E+01  3.94079163E+02
  1.41000000E+01  4.11275705E+02
  1.43000000E+01  4.28910828E+02
  1.45000000E+01  4.46830755E+02
  1.47000000E+01  4.65374886E+02
  1.49000000E+01  4.84500455E+02
  1.51000000E+01  5.04214741E+02
  1.53000000E+01  5.24445860E+02
  1.55000000E+01  5.45282075E+02
  1.57000000E+01  5.66964513E+02
  1.59000000E+01  5.88817106E+02
  1.61000000E+01  6.11103731E+02
  1.63000000E+01  6.34156506E+02
  1.65000000E+01  6.57757052E+02
  1.67000000E+01  6.81937216E+02
  1.69000000E+01  7.06620564E+02
  1.71000000E+01  7.31324841E+02
  1.73000000E+01  7.56880801E+02
  1.75000000E+01  7.83199272E+02
  1.77000000E+01  8.10148317E+02
  1.79000000E+01  8.37799818E+02
  1.81000000E+01  8.65969063E+02
  1.83000000E+01  8.94862602E+02
  1.85000000E+01  9.24836215E+02
  1.87000000E+01  9.55481347E+02
  1.89000000E+01  9.86671520E+02
  1.91000000E+01  1.01834031E+03
  1.93000000E+01  1.05068153E+03
  1.95000000E+01  1.08316561E+03
  1.97000000E+01  1.11684713E+03
  1.99000000E+01  1.15082621E+03
